skills,project_type
"Linux,Terraform",DevOps
"Kubernetes,Git",DevOps
"Java,Python,SQL,JavaScript,Hibernate",Backend
"JUnit,Testing,Jest,Cypress,Postman",QA
"Cypress,Postman,Jest",QA
"SQL,Python,Pandas",Data Science
"Node.js,React,SQL,JavaScript,Git",FullStack
"iOS,Kotlin,React Native",Mobile
"Swift,iOS,Flutter,Android",Mobile
"Java,Spring,REST,C#",Backend
"Docker,Linux,TypeScript,AWS,Git,R",DevOps
"SQL,React",FullStack
"PyTorch,TensorFlow,Pandas,Postman,Kotlin,R",Data Science
"JavaScript,HTML,Angular",Frontend
"HTML,React",Frontend
"ML,Python,NumPy,TensorFlow,Pandas",Data Science
"JUnit,Jest",QA
"Cypress,Postman,Selenium,Jest",QA
"Node.js,React,Vue,React Native,Sass,CSS,TypeScript",Frontend
"Swift,Kotlin,React Native",Mobile
"SQL,NumPy,PyTorch,Pandas",Data Science
"Docker,Jenkins,Git,AWS",DevOps
"CI/CD,Docker,Jenkins,Git",DevOps
"Testing,Postman,Selenium",QA
"Node.js,Vue,JUnit,C#,Hibernate",Backend
"Angular,React,Vue,JavaScript,HTML",Frontend
"Docker,React,JavaScript,Linux,Kubernetes,Git",DevOps
"Linux,Terraform",DevOps
"CI/CD,Linux,Git",DevOps
"Sass,Flutter,Node.js,Angular",Frontend
"Testing,JUnit,Cypress,Jest",QA
"NumPy,Pandas,TensorFlow",Data Science
"Python,REST,C#",Backend
"SQL,NumPy,ML,Pandas",Data Science
".NET,JavaScript,Node.js,REST",Backend
"Docker,CI/CD,Kubernetes,AWS,Jenkins",DevOps
"Swift,iOS,Kotlin,Android",Mobile
"Testing,Cypress",QA
"Sass,JavaScript,Angular",Frontend
"Swift,Python,React Native,Android,Hibernate,iOS",Mobile
"SQL,JavaScript,Git,React",FullStack
"Swift,Python,Node.js,React Native,iOS",Mobile
"Testing,Sass,Flutter,Jest",QA
"SQL,JavaScript,Node.js",FullStack
"Docker,Node.js,React,JavaScript,Cypress,Git",FullStack
"ML,Python,NumPy,PyTorch,R",Data Science
"Kubernetes,Git,Linux",DevOps
"Node.js,React,React Native,JavaScript,Jenkins,Git",FullStack
"SQL,Java,Python,C#",Backend
"JUnit,Vue,React,iOS",Frontend
"CSS,JavaScript,Sass",Frontend
"Cypress,Postman,Jest",QA
"Python,SQL,NumPy,PyTorch,Testing,CSS,R",Data Science
"Python,TensorFlow",Data Science
"JUnit,Selenium,Testing,Cypress,Postman",QA
"Python,PyTorch,Pandas,TensorFlow",Data Science
"Swift,Kotlin,React Native",Mobile
"Swift,React Native,Android,Flutter,Kotlin",Mobile
"Cypress,JUnit,Testing,Selenium",QA
"Docker,Jenkins",DevOps
"ML,SQL,NumPy,Pandas,R",Data Science
"Swift,iOS,Flutter,React Native",Mobile
"JUnit,Selenium,Testing,Jest,Cypress",QA
"SQL,Node.js",FullStack
"SQL,Node.js",FullStack
"JavaScript,Git,Node.js",FullStack
"Node.js,React,JavaScript,TypeScript,Git",FullStack
"CI/CD,Jenkins,Kubernetes,Terraform",DevOps
"JUnit,Selenium,Testing,Jest,Cypress",QA
"Node.js,React,SQL,JavaScript,TypeScript,iOS",FullStack
"ML,NumPy,Pandas,TensorFlow",Data Science
"CSS,JavaScript,HTML,Angular",Frontend
"SQL,NumPy,Python,R",Data Science
"Docker,Node.js,Terraform,AWS,Jenkins,R",DevOps
"Linux,Jenkins,Kubernetes,Terraform",DevOps
"Android,iOS,Kotlin,Swift",Mobile
"Android,iOS,Kotlin",Mobile
"ML,Python,NumPy,Pandas,R",Data Science
"Terraform,CI/CD,Linux,AWS,Git",DevOps
"Cypress,Jest",QA
"Python,TypeScript,Node.js,Vue",FullStack
"JUnit,Selenium,Testing,Jest,Postman",QA
"Kotlin,React Native",Mobile
"Node.js,Angular,SQL,JavaScript,TypeScript,Git",FullStack
"Node.js,React,JavaScript,Flutter,TypeScript,Cypress,Git",FullStack
"Postman,Selenium,PyTorch,Cypress,Jenkins",QA
"Docker,Python,React,SQL,C#,Hibernate,Spring",Backend
"Terraform,TensorFlow,Testing,AWS,Jenkins",DevOps
"Git,React",FullStack
"SQL,.NET",Backend
"JavaScript,Git,React,TypeScript",FullStack
"Angular,Terraform,Selenium,Sass,HTML",Frontend
"Docker,Terraform,CI/CD,Linux,Kubernetes",DevOps
"Swift,Android,Flutter,HTML,Jenkins,Kotlin",Mobile
"iOS,Flutter,React Native",Mobile
"Angular,React,JavaScript,CSS,HTML",Frontend
"Docker,CI/CD,Linux,AWS,Jenkins",DevOps
"Selenium,Jest",QA
"Java,Node.js,Vue,JavaScript,.NET,Hibernate,Spring",Backend
"ML,NumPy,Flutter,PyTorch,TensorFlow,Pandas,Jenkins",Data Science
"JUnit,Selenium,Testing,Jest,Postman",QA
"Swift,React Native,Android,Linux,Cypress,iOS,Kotlin",Mobile
"Node.js,SQL,JavaScript,TypeScript,Git",FullStack
"ML,Python,R",Data Science
"Selenium,Jest",QA
"Swift,Flutter",Mobile
"Testing,Selenium",QA
"Angular,React,CSS,Git,R",Frontend
"SQL,ML,PyTorch,TensorFlow",Data Science
"SQL,ML,Python,Pandas",Data Science
"Docker,Terraform,CI/CD,AWS,Git",DevOps
"CI/CD,Linux,Kubernetes,TypeScript,Kotlin",DevOps
"React Native,JUnit,Selenium,Kubernetes,Postman",QA
"Kubernetes,AWS,Terraform",DevOps
"Node.js,React",FullStack
"JavaScript,Node.js,React",FullStack
"SQL,Android,Postman,iOS",Mobile
"iOS,Flutter,React Native",Mobile
"Node.js,NumPy,JavaScript,C#,Spring",Backend
"Node.js,React,NumPy,Linux,TypeScript",FullStack
"Swift,REST,React Native,Flutter,Linux,Kotlin",Mobile
"JUnit,Selenium,Jest,Cypress,Postman",QA
"Testing,Selenium,Jest",QA
"Swift,React Native,Android,Flutter,iOS",Mobile
"Cypress,JUnit,Postman",QA
"Selenium,Testing,Jest,Cypress,Postman",QA
"Node.js,React,SQL,JavaScript,.NET,TypeScript,Postman",FullStack
"CSS,Python,REST,Pandas",Backend
"JavaScript,TypeScript,Node.js",FullStack
"Swift,Android,Flutter,iOS,Kotlin",Mobile
"Swift,React Native,Android,AWS,Cypress,Kotlin",Mobile
"Testing,Selenium,Jest",QA
"Android,Flutter,Kotlin,React Native",Mobile
"Docker,CI/CD,Kubernetes,AWS,Git",DevOps
"Testing,Postman",QA
"Swift,SQL,Android,JUnit,Flutter,iOS,Kotlin",Mobile
"Swift,Android",Mobile
"Node.js,JUnit,Flutter,Selenium,Testing,Jest,Cypress",QA
"Java,Spring,Node.js",Backend
"JUnit,Selenium,Testing,Jest,Cypress",QA
"Node.js,JUnit,Selenium,Testing,Jest,Cypress,Git",QA
"Swift,Git,SQL,Android,Flutter,Kotlin",Mobile
"JUnit,Selenium,Testing,Jest,Postman",QA
"Swift,Node.js,Android,Flutter,.NET,iOS,Kotlin",Mobile
"R,NumPy,Pandas",Data Science
"Docker,Terraform,Flutter,Pandas,Jenkins,Git",DevOps
"Testing,Postman,Selenium,Jest",QA
"Swift,Android,Flutter,iOS,Kotlin",Mobile
"Testing,JUnit,Postman,Selenium",QA
"Hibernate,Python,Node.js",Backend
"CSS,HTML,Angular,Vue",Frontend
"CI/CD,Docker,AWS,Terraform",DevOps
"Angular,Vue,React,Sass,HTML",Frontend
"CI/CD,Jenkins,AWS,Terraform",DevOps
"JUnit,Selenium,Jest",QA
"Angular,Vue,JavaScript,Sass,HTML",Frontend
"ML,Python,SQL,NumPy,R",Data Science
"CI/CD,CSS,Flutter,Kotlin",Mobile
"Testing,JUnit,Postman,Jest",QA
"SQL,TypeScript,React,Git",FullStack
"Jenkins,Linux",DevOps
"Docker,Terraform,Linux,AWS,Jenkins",DevOps
"React,CSS,JavaScript,Vue",Frontend
"Node.js,React,SQL,JavaScript,Git",FullStack
"Flutter,Kotlin,React Native",Mobile
"JavaScript,Node.js,React",FullStack
"R,Kubernetes,React,Terraform",DevOps
"ML,NumPy,SQL,Pandas",Data Science
"Jenkins,Git",DevOps
"SQL,Spring,Python",Data Science
"Testing,JUnit,Selenium,Jest",QA
"Android,JavaScript,CSS,HTML,R",Frontend
"SQL,TypeScript,Node.js",FullStack
"Swift,Flutter,Kotlin",Mobile
"JavaScript,TypeScript,React",FullStack
"JUnit,Selenium,Jest",QA
"SQL,NumPy,PyTorch,Pandas,R",Data Science
"ML,Node.js,SQL,NumPy,TensorFlow,Testing",Data Science
"JavaScript,TypeScript,React",FullStack
"CSS,JavaScript,HTML,Vue",Frontend
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"CI/CD,Jenkins,Kubernetes,AWS",DevOps
"React Native,Jenkins,Selenium,Testing,Jest,Postman",QA
"Node.js,React,SQL,TypeScript,Git",FullStack
".NET,C#",Backend
"Vue,SQL,JavaScript,CSS,HTML,TypeScript",Frontend
"Swift,Android",Mobile
"Swift,Android,Flutter,React Native",Mobile
"CI/CD,Flutter,Python,AWS",DevOps
"ML,Python,PyTorch,NumPy",Data Science
"SQL,JavaScript,Git,Node.js",FullStack
"Testing,JUnit,Selenium",QA
"Swift,Kotlin,React Native",Mobile
"Python,Postman,Selenium,React",QA
"JavaScript,HTML,Angular",Frontend
"Angular,Vue,Sass,CSS,HTML",Frontend
".NET,REST",Backend
"Swift,Python,SQL,NumPy,TensorFlow,Postman,R",Data Science
"Node.js,Terraform,SQL,JavaScript,CSS,Git",FullStack
"SQL,NumPy,R,TensorFlow",Data Science
"JUnit,Selenium,Testing,Cypress,Postman",QA
"Testing,HTML,AWS,Jest,Postman",QA
"Python,Node.js,React,TypeScript,Git",FullStack
"Angular,Node.js,React,JavaScript,C#,Git",FullStack
"Java,Docker,CI/CD,CSS,Jenkins,Git",DevOps
"Linux,AWS",DevOps
"React,SQL,JavaScript,TypeScript,Git",FullStack
"CI/CD,Jenkins",DevOps
"Testing,JUnit",QA
"ML,NumPy,Pandas",Data Science
"SQL,JavaScript,Git",FullStack
"Angular,JavaScript,Sass,TypeScript,HTML",Frontend
"Docker,NumPy,Testing,Kubernetes,Jenkins",DevOps
"ML,NumPy,TensorFlow,Pandas,R",Data Science
"Vue,JavaScript,TypeScript,React",Frontend
"Flutter,Kotlin,React Native",Mobile
"Testing,Postman,Jest",QA
"SQL,Hibernate,JavaScript,PyTorch",FullStack
"CI/CD,Linux,.NET,Kubernetes,Spring,Jenkins,Git",DevOps
"Android,React Native",Mobile
"Node.js,REST,SQL,Flutter,.NET,Hibernate,iOS",Backend
".NET,Spring,Python",Backend
"CSS,JavaScript,HTML",Frontend
"JUnit,Postman,TypeScript,C#",QA
"TypeScript,React",Frontend
"iOS,React Native",Mobile
"JavaScript,Git,TypeScript",FullStack
"ML,SQL,NumPy,TensorFlow,Pandas,Spring",Data Science
"Python,SQL,NumPy,TensorFlow,R",Data Science
"Swift,Android,Flutter,iOS",Mobile
"Cypress,Testing",QA
"Android,Kotlin",Mobile
"Docker,Jenkins,Kubernetes,Terraform",DevOps
"Node.js,React,SQL,TypeScript,Git",FullStack
"Java,REST,Vue,Hibernate,iOS,Spring",Backend
"Java,Python,SQL,.NET,Hibernate",Backend
"Swift,SQL,NumPy,TensorFlow,TypeScript",Data Science
"ML,SQL,PyTorch,Pandas,R",Data Science
"CI/CD,Linux",DevOps
"Testing,JUnit,NumPy,TensorFlow",QA
"SQL,Hibernate,C#",Backend
"Java,Node.js,React Native,.NET,Spring",Backend
"SQL,JavaScript,Node.js,React",FullStack
"Selenium,Testing,Jest,Cypress,Postman",QA
"R,NumPy,Pandas,TensorFlow",Data Science
"ML,REST,NumPy,Testing,Pandas",Data Science
"HTML,Vue",Frontend
"Git,Terraform",DevOps
"ML,Python,SQL,Selenium,AWS,Pandas,R",Data Science
"Java,Python,Node.js,Terraform,iOS",Backend
"Kotlin,React Native",Mobile
"Sass,TypeScript",Frontend
"Node.js,SQL,JavaScript,Hibernate,Git",FullStack
"Python,C#",Backend
"Terraform,Linux,.NET,Kubernetes,AWS,Spring",DevOps
"Java,Python,SQL,Sass,Git",Backend
"Java,Python,Node.js,C#,.NET",Backend
"Terraform,Kubernetes,AWS,Jenkins,Git",DevOps
"JavaScript,HTML",Frontend
"Docker,CI/CD,Kubernetes,AWS,Jenkins",DevOps
"SQL,JavaScript,Git,R",FullStack
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"Python,Pandas,TensorFlow",Data Science
"CI/CD,Docker,Kubernetes,Terraform",DevOps
"SQL,Jenkins,Git,PyTorch",Data Science
"JUnit,Selenium,Jest,Git,R",QA
"React,Kotlin,Node.js,React Native",Mobile
"Swift,Flutter,React Native",Mobile
"Java,C#",Backend
"Java,Node.js,SQL,.NET,Spring",Backend
"Python,Angular,React,SQL,Sass,CSS",Frontend
"Testing,JUnit,Postman,Cypress",QA
"ML,JavaScript,PyTorch,TensorFlow,Cypress,R",Data Science
"ML,NumPy,R",Data Science
"Angular,Vue,JavaScript,CSS,TypeScript",Frontend
"Java,Python,REST,SQL,.NET",Backend
"iOS,Flutter",Mobile
"Hibernate,Spring,Node.js",Backend
"SQL,Java,Spring,Python",Backend
".NET,Spring,Node.js,Java",Backend
"Terraform,CI/CD,AWS,Jenkins,Git",DevOps
"Java,Python,Node.js,C#,Hibernate",Backend
"ML,Python,Angular,NumPy,TensorFlow,.NET",Data Science
"Swift,Spring,Git,React Native",Mobile
"Docker,Kubernetes,Terraform",DevOps
"Node.js,NumPy,JavaScript,CSS,TypeScript",Frontend
"JavaScript,TypeScript,Node.js,React",FullStack
"Swift,React Native,Android,iOS,Kotlin",Mobile
"JUnit,Selenium,Testing,Cypress,Postman",QA
"Node.js,REST,C#,.NET,Spring",Backend
"SQL,JavaScript,Git,Node.js",FullStack
"Jenkins,CI/CD,Docker,AWS",DevOps
"SQL,NumPy,Python",Data Science
"Swift,JavaScript,Kubernetes,React",FullStack
"Sass,TypeScript",Frontend
"Swift,Android,Flutter,iOS,Kotlin",Mobile
"Cypress,Flutter,SQL,Jest",QA
"Angular,Android,Flutter,CSS,iOS",Mobile
"Testing,Postman,Selenium",QA
"React,SQL,JavaScript,TypeScript,Git",FullStack
"Swift,Java,React Native,Flutter,Jest,iOS,Kotlin",Mobile
"Node.js,React Native,REST,Android,Flutter,iOS,Kotlin",Mobile
"Cypress,JUnit,Postman,Selenium",QA
"Docker,Terraform,CI/CD,Kubernetes,AWS",DevOps
"Node.js,React,SQL,JavaScript,Git",FullStack
"Docker,Jenkins,Git,AWS",DevOps
"CI/CD,Selenium,PyTorch,Testing,Jest,Cypress,Postman",QA
"ML,React,Terraform,NumPy,PyTorch,Pandas,R",Data Science
"Cypress,Selenium",QA
"Node.js,React,SQL,JavaScript,C#,TypeScript,HTML",FullStack
"Sass,Docker,PyTorch,React",Frontend
"ML,Python,NumPy,Pandas,R",Data Science
"React Native,Android,Flutter,Sass,Jest,iOS,Kotlin",Mobile
"Java,REST,Hibernate,Pandas,Spring,R",Backend
"Git,React,TypeScript",FullStack
"Android,Kotlin",Mobile
"Vue,Angular,React",Frontend
"NumPy,PyTorch,Pandas,TensorFlow",Data Science
"Docker,Linux,Git,Terraform",DevOps
"SQL,Git,React,TypeScript",FullStack
"Git,AWS",DevOps
"Testing,JUnit,Selenium,Jest",QA
"JavaScript,TypeScript",Frontend
"Sass,Vue",Frontend
"Docker,Terraform,Linux,Kubernetes,Git",DevOps
"Node.js,SQL,Postman,Git,R",FullStack
"Swift,iOS,Flutter,Kotlin",Mobile
"React,Sass,JavaScript,Vue",Frontend
"Sass,JavaScript,TypeScript,Vue",Frontend
"ML,Python,SQL,PyTorch,R",Data Science
"CSS,TypeScript",Frontend
"Hibernate,Python,C#",Backend
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"Vue,Sass,HTML,React",Frontend
"Node.js,Selenium,Hibernate,Cypress,Postman",QA
"Swift,React Native,Flutter,iOS,Kotlin",Mobile
"SQL,Java,Python,Node.js",Backend
"Hibernate,C#",Backend
"SQL,Python,PyTorch,TensorFlow",Data Science
"Swift,Vue,React",Frontend
"Swift,iOS,Flutter,React Native",Mobile
"TypeScript,Angular,React",Frontend
"CSS,TypeScript,React",Frontend
"R,Pandas",Data Science
"Swift,Android",Mobile
"JavaScript,Git",FullStack
"CI/CD,Postman,Linux,CSS",DevOps
".NET,Spring,Node.js,REST",Backend
"Swift,Android,Flutter",Mobile
"Postman,Selenium",QA
"Cypress,JUnit,Postman,Selenium",QA
"Sass,Angular",Frontend
"Docker,Terraform,CI/CD,Jest,Git",DevOps
"Linux,Kubernetes,Terraform",DevOps
"TypeScript,React",FullStack
"ML,Python,Terraform,NumPy,Kubernetes,Pandas",Data Science
"Testing,Postman,Jest,Cypress",QA
"Docker,Node.js,Vue,JavaScript,HTML",Frontend
